,region,Code,Year,rate
213,Turkey,TUR,2009,85.735512
214,Turkey,TUR,2014,84.375
215,Uganda,UGA,2004,77.644714
216,Ukraine,UKR,1998,45.891144
217,Ukraine,UKR,2009,77.162971
218,Ukraine,UKR,2014,68.300873
219,United Kingdom,GBR,1998,90.210434
220,United Kingdom,GBR,2009,93.269226
221,United States,USA,1998,93.255516
222,United States,USA,2004,93.416664
223,United States,USA,2009,92.868591
224,United States,USA,2014,91.081085
225,Uruguay,URY,1998,80.299995
226,Uruguay,URY,2009,86.331657
227,Uruguay,URY,2014,86.345383
228,Uzbekistan,UZB,2014,96.517082
229,Venezuela,VEN,1998,92.666664
230,Venezuela,VEN,2004,86.333336
231,Vietnam,VNM,2004,91.399994
232,Vietnam,VNM,2009,91.873741
233,Yemen,YEM,2014,72.099998
234,Zambia,ZMB,2009,52.474575
235,Zimbabwe,ZWE,2004,56.387226
236,Zimbabwe,ZWE,2014,82.133331
