ISO3 Alpha-code,Year,darmani*
BRB,2019,44.83
LBN,2019,44.84
PLW,2019,45.16
STP,2019,45.4
MHL,2019,45.95
KEN,2019,45.98
TTO,2019,45.98
PRY,2019,46.35
MUS,2019,47.04
NAM,2019,47.31
LCA,2019,47.46
DJI,2019,48.26
GRC,2019,48.76
IDN,2019,48.94
MEX,2019,49.17
KNA,2019,49.26
IRQ,2019,49.37
IRN,2019,49.5
SWZ,2019,50.72
CHL,2019,50.92
JOR,2019,51.09
KGZ,2019,51.42
TUN,2019,51.52
USA,2019,51.54
SGP,2019,51.71
ARE,2019,52.13
BHS,2019,52.17
MYS,2019,52.33
CYP,2019,55.2
SLV,2019,55.42
CHN,2019,55.98
BHR,2019,57.1
VUT,2019,57.46
TLS,2019,57.68
PAN,2019,57.69
PNG,2019,58.33
SRB,2019,58.34
ATG,2019,58.44
ZAF,2019,58.44
BGR,2019,59.16
MNG,2019,59.37
GUY,2019,59.45
KOR,2019,59.53
MDA,2019,59.67
LVA,2019,59.86
KAZ,2019,59.94
GNB,2019,6.4
MKD,2019,60.25
GAB,2019,60.31
PRT,2019,60.78
MNE,2019,60.84
TON,2019,60.93
DOM,2019,61.14
RUS,2019,61.15
NIC,2019,61.57
ECU,2019,61.77
MLT,2019,62.51
PER,2019,62.89
ARG,2019,63.97
CPV,2019,64.08
DMA,2019,64.46
ISR,2019,64.66
DZA,2019,65.05
LTU,2019,65.09
JAM,2019,65.25
FJI,2019,65.39
NLD,2019,65.9
VCT,2019,66.41
URY,2019,66.6
BLZ,2019,67.34
HUN,2019,68.31
BIH,2019,68.72
CAN,2019,69.78
BLR,2019,70.38
ESP,2019,70.61
BOL,2019,71.09
COL,2019,71.13
POL,2019,71.38
BWA,2019,71.43
AND,2019,71.65
THA,2019,72.17
SVN,2019,72.37
NIU,2019,72.51
CRI,2019,72.54
SYC,2019,72.71
SUR,2019,72.84
BTN,2019,73.57
ITA,2019,73.74
AUS,2019,73.8
EST,2019,74.39
IRL,2019,74.63
TUV,2019,74.88
AUT,2019,74.91
FRA,2019,75.16
SLB,2019,75.31
NZL,2019,75.55
BEL,2019,76.0
WSM,2019,76.83
DEU,2019,77.16
QAT,2019,77.47
TUR,2019,77.69
MDV,2019,78.34
SVK,2019,78.82
ROU,2019,80.14
FIN,2019,80.19
GBR,2019,80.23
HRV,2019,81.54
KIR,2019,82.3
ISL,2019,82.8
DNK,2019,83.71
JPN,2019,83.88
CZE,2019,84.67
MCO,2019,85.02
SWE,2019,85.12
NOR,2019,85.72
LUX,2019,85.87
OMN,2019,87.55
KWT,2019,88.15
SMR,2019,88.43
CUB,2019,89.02
NRU,2019,89.54
COK,2019,91.16
BRN,2019,94.41
SSD,2018,10.92
ARM,2018,12.34
HTI,2018,12.97
TCD,2018,14.23
MMR,2018,14.83
COD,2018,15.08
COM,2018,15.61
ERI,2018,15.61
NGA,2018,16.1
GIN,2018,16.51
UGA,2018,16.77
TGO,2018,16.98
LBR,2018,17.13
TKM,2018,17.6
BEN,2018,19.75
GNQ,2018,20.12
BGD,2018,20.97
MOZ,2018,22.34
ETH,2018,23.2
SDN,2018,23.28
NPL,2018,23.57
MWI,2018,24.44
SEN,2018,25.25
AZE,2018,26.11
FSM,2018,26.31
KHM,2018,26.89
TJK,2018,27.05
EGY,2018,28.47
CIV,2018,29.07
BDI,2018,29.23
AFG,2018,3.89
MLI,2018,30.84
CHE,2018,31.22
GMB,2018,31.98
PAK,2018,33.28
NER,2018,33.31
ZWE,2018,34.14
IND,2018,34.29
RWA,2018,34.96
MDG,2018,35.21
COG,2018,35.32
GTM,2018,36.01
TZA,2018,37.56
UZB,2018,38.17
LAO,2018,38.7
PHL,2018,38.86
MRT,2018,39.19
ZMB,2018,39.29
HND,2018,39.41
GHA,2018,39.43
GEO,2018,39.46
MAR,2018,40.19
GRD,2018,40.69
BRA,2018,41.09
VNM,2018,41.63
CYP,2018,42.03
ALB,2018,42.39
BFA,2018,42.51
AGO,2018,42.64
KEN,2018,43.11
MUS,2018,43.94
LCA,2018,44.76
BRB,2018,44.78
PRY,2018,44.92
LKA,2018,45.69
IRN,2018,45.93
KNA,2018,45.96
LBN,2018,46.24
UKR,2018,46.42
NAM,2018,46.53
LSO,2018,47.78
STP,2018,47.93
IRQ,2018,48.13
MHL,2018,48.14
SWZ,2018,48.27
KGZ,2018,48.39
TTO,2018,48.44
IDN,2018,48.68
JOR,2018,48.87
DJI,2018,49.41
MEX,2018,49.63
BHS,2018,49.97
SGP,2018,50.01
CHL,2018,50.82
MYS,2018,51.26
USA,2018,51.3
VEN,2018,51.54
ARE,2018,51.58
GRC,2018,52.16
TUN,2018,52.56
SLV,2018,54.61
CHN,2018,56.42
MDA,2018,56.53
ZAF,2018,57.24
BGR,2018,57.64
PAN,2018,58.0
MNG,2018,58.17
MKD,2018,58.19
BHR,2018,58.21
KOR,2018,58.46
PLW,2018,58.5
GAB,2018,58.6
SRB,2018,59.37
RUS,2018,59.46
MNE,2018,59.55
LVA,2018,59.72
CAF,2018,6.26
ATG,2018,60.07
GUY,2018,60.17
KAZ,2018,60.84
NIC,2018,60.92
PRT,2018,61.16
DOM,2018,61.21
PER,2018,61.5
TLS,2018,61.74
CPV,2018,61.88
ECU,2018,62.68
ARG,2018,62.77
MLT,2018,63.48
VUT,2018,64.52
ISR,2018,64.66
JAM,2018,65.16
NLD,2018,65.73
DZA,2018,65.85
LTU,2018,65.99
DMA,2018,66.4
NIU,2018,66.63
TON,2018,66.63
VCT,2018,67.66
SUR,2018,68.23
BWA,2018,68.58
BLZ,2018,68.63
FJI,2018,69.04
URY,2018,69.12
HUN,2018,69.2
CAN,2018,69.86
BIH,2018,69.87
GNB,2018,7.26
ESP,2018,70.22
SAU,2018,70.3
PNG,2018,70.41
BLR,2018,70.56
THA,2018,70.87
AND,2018,70.96
POL,2018,71.09
AUS,2018,71.51
COL,2018,71.61
CRI,2018,72.39
SVN,2018,72.41
BOL,2018,72.65
EST,2018,73.59
SYC,2018,73.81
ITA,2018,73.86
IRL,2018,74.13
KIR,2018,74.4
AUT,2018,74.48
NZL,2018,74.83
FRA,2018,75.78
QAT,2018,77.08
BEL,2018,77.25
DEU,2018,77.25
MDV,2018,77.28
TUR,2018,77.38
WSM,2018,77.57
SLB,2018,78.51
FIN,2018,78.56
SVK,2018,79.21
BTN,2018,79.55
ROU,2018,79.69
GBR,2018,80.1
ISL,2018,82.38
TUV,2018,82.76
HRV,2018,83.21
DNK,2018,83.75
JPN,2018,83.77
CZE,2018,84.54
SWE,2018,84.78
LUX,2018,84.92
NOR,2018,85.7
MCO,2018,85.71
OMN,2018,86.43
COK,2018,87.51
NRU,2018,88.08
KWT,2018,88.23
SMR,2018,88.54
CUB,2018,88.74
SLE,2018,9.27
CMR,2018,9.71
BRN,2018,95.14
CAF,2017,10.93
HTI,2017,12.18
COM,2017,12.83
ARM,2017,13.24
LBR,2017,13.94
NGA,2017,14.21
MMR,2017,14.79
TCD,2017,15.28
GIN,2017,15.34
UGA,2017,15.97
TGO,2017,16.35
SDN,2017,17.41
GNQ,2017,19.96
BGD,2017,21.23
TKM,2017,21.32
MOZ,2017,22.24
NPL,2017,22.56
MWI,2017,22.67
SEN,2017,24.27
ETH,2017,24.94
ZWE,2017,25.12
FSM,2017,25.86
KHM,2017,26.52
AZE,2017,26.82
ERI,2017,27.02
CIV,2017,28.72
TJK,2017,29.0
BDI,2017,29.05
EGY,2017,30.97
BEN,2017,31.27
CHE,2017,31.56
GMB,2017,31.63
MLI,2017,32.05
GHA,2017,32.37
IND,2017,32.95
NER,2017,33.81
PAK,2017,34.0
RWA,2017,34.88
LAO,2017,35.19
GTM,2017,35.84
MRT,2017,37.14
GEO,2017,37.21
PHL,2017,37.44
KGZ,2017,37.95
COG,2017,38.37
TZA,2017,38.65
MAR,2017,39.71
CMR,2017,4.16
GRD,2017,40.54
ZMB,2017,40.66
HND,2017,40.73
ALB,2017,40.87
LKA,2017,41.01
CYP,2017,41.47
UZB,2017,41.5
KNA,2017,41.57
BRA,2017,41.74
IRQ,2017,41.86
KEN,2017,42.94
MHL,2017,43.13
BFA,2017,43.3
LCA,2017,43.73
MUS,2017,44.05
JOR,2017,44.8
BRB,2017,45.35
PRY,2017,45.8
STP,2017,46.03
VNM,2017,46.11
AGO,2017,46.28
MDG,2017,46.37
DJI,2017,46.43
LBN,2017,46.47
IDN,2017,46.48
NAM,2017,46.5
IRN,2017,46.52
UKR,2017,47.21
SGP,2017,48.27
AFG,2017,5.1
CHL,2017,50.4
MEX,2017,50.54
MDA,2017,50.61
PLW,2017,50.62
SWZ,2017,50.75
USA,2017,51.06
MYS,2017,51.75
GRC,2017,52.16
TTO,2017,52.29
VUT,2017,53.25
TUN,2017,54.15
SLV,2017,54.41
LSO,2017,54.53
ARE,2017,54.81
BGR,2017,54.93
BHS,2017,55.37
BHR,2017,56.15
ATG,2017,56.16
CHN,2017,56.67
RUS,2017,57.09
LVA,2017,57.17
ZAF,2017,57.23
MNE,2017,57.39
SRB,2017,57.48
KOR,2017,57.91
SUR,2017,58.23
NIC,2017,58.33
MKD,2017,58.34
DOM,2017,59.69
TON,2017,59.86
PRT,2017,61.14
ECU,2017,61.18
PAN,2017,61.6
VEN,2017,61.74
KAZ,2017,62.01
PER,2017,62.17
CPV,2017,62.28
MNG,2017,62.44
MLT,2017,62.9
ARG,2017,63.2
GAB,2017,63.29
NIU,2017,63.83
VCT,2017,63.84
ISR,2017,63.88
NLD,2017,64.32
GUY,2017,64.64
LTU,2017,65.16
DZA,2017,65.95
TLS,2017,65.99
JAM,2017,66.12
FJI,2017,66.23
TUV,2017,67.36
HUN,2017,68.44
BOL,2017,68.53
BLZ,2017,68.75
POL,2017,68.82
DMA,2017,69.01
BLR,2017,69.11
URY,2017,69.3
CAN,2017,69.73
GNB,2017,7.12
BIH,2017,70.13
ESP,2017,70.51
COL,2017,71.04
MDV,2017,71.24
AUS,2017,71.27
SVN,2017,71.8
SAU,2017,71.85
THA,2017,72.04
AND,2017,72.29
IRL,2017,72.98
SYC,2017,73.04
NRU,2017,73.37
EST,2017,73.49
CRI,2017,73.51
ITA,2017,73.74
AUT,2017,73.82
BTN,2017,74.52
SLB,2017,74.59
PNG,2017,75.41
NZL,2017,75.46
BWA,2017,75.66
KIR,2017,75.67
FRA,2017,75.72
WSM,2017,76.34
BEL,2017,77.2
DEU,2017,77.58
TUR,2017,77.71
FIN,2017,78.01
ROU,2017,78.59
QAT,2017,78.95
SVK,2017,79.04
SSD,2017,8.44
GBR,2017,80.37
ISL,2017,81.86
HRV,2017,82.85
DNK,2017,83.96
CZE,2017,84.04
JPN,2017,84.21
COK,2017,84.67
SWE,2017,84.71
LUX,2017,84.78
NOR,2017,85.12
KWT,2017,85.71
MCO,2017,85.82
SMR,2017,87.3
OMN,2017,89.2
CUB,2017,89.22
SLE,2017,9.05
COD,2017,9.95
BRN,2017,94.59
CMR,2016,10.18
CAF,2016,11.01
HTI,2016,11.02
SLE,2016,11.17
GIN,2016,12.3
COM,2016,12.34
COD,2016,12.63
NGA,2016,13.02
MMR,2016,13.99
LBR,2016,14.13
TGO,2016,14.88
UGA,2016,15.68
TCD,2016,16.28
ARM,2016,16.45
NPL,2016,18.58
TKM,2016,18.58
BGD,2016,19.9
ERI,2016,20.84
ZWE,2016,21.19
IRQ,2016,21.8
KHM,2016,21.81
GNQ,2016,22.09
BEN,2016,23.27
SDN,2016,23.52
MOZ,2016,23.93
NER,2016,24.29
MWI,2016,24.73
ETH,2016,25.0
SEN,2016,25.09
CIV,2016,25.69
FSM,2016,26.5
IND,2016,26.84
PAK,2016,27.47
TJK,2016,28.57
AZE,2016,28.82
EGY,2016,30.87
CHE,2016,31.0
MLI,2016,32.03
RWA,2016,32.09
LAO,2016,32.4
BDI,2016,32.71
GEO,2016,36.64
PHL,2016,37.26
GTM,2016,37.69
ZMB,2016,38.29
GHA,2016,38.36
MRT,2016,38.73
KGZ,2016,38.94
MAR,2016,39.38
GRD,2016,39.78
LCA,2016,39.96
BFA,2016,40.08
HND,2016,40.12
KNA,2016,40.14
STP,2016,40.31
GMB,2016,40.37
TZA,2016,40.62
SWZ,2016,41.73
CYP,2016,42.03
ALB,2016,42.06
KEN,2016,42.81
BRA,2016,43.06
LKA,2016,43.12
COG,2016,43.16
UZB,2016,43.59
MUS,2016,44.11
AGO,2016,44.14
MHL,2016,44.17
MDG,2016,45.12
VUT,2016,45.3
IDN,2016,45.53
IRN,2016,45.9
LBN,2016,46.34
NAM,2016,46.9
BRB,2016,47.16
PRY,2016,47.16
VEN,2016,47.28
SGP,2016,47.34
VNM,2016,47.43
UKR,2016,48.23
DJI,2016,48.48
JOR,2016,48.52
BHS,2016,48.68
MDA,2016,48.79
TLS,2016,49.64
CHL,2016,49.65
AFG,2016,5.08
GNB,2016,5.82
TTO,2016,50.12
MYS,2016,51.03
USA,2016,51.14
MEX,2016,51.28
GRC,2016,51.4
PLW,2016,52.28
TUN,2016,54.9
BGR,2016,55.13
SLV,2016,55.62
ATG,2016,55.85
LVA,2016,55.85
ZAF,2016,56.6
RUS,2016,56.95
KOR,2016,57.52
SRB,2016,57.58
