Time,Time Code,Country Name,Country Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,Azerbaijan,AZE,0.531073961790332,..,10.4220403274107,..,..,..,7.26000022888184,15.3699998855591,41.5348372928728,47.4569774406069,..,..,2.97462010383606,67.562,39.084064367217,7106.59790726031,2631.75898094917,33.7950471423438,26.6600947700296,..,115.841884607706,9.67950731917054,16436,..,51.9,26.6,..,1.02226559239828,..,17.0283333333333
2005,YR2005,"Bahamas, The",BHS,0.207671727109401,16.0074865783382,9.75173339297696,..,..,88.4579315185547,10.1999998092651,20.1800003051758,27.3367763973892,30.8188121429007,..,..,2.28999996185303,72.765,42.2236854645169,37665.3876989643,33295.9327364828,5.72797116772737,1.99358370355381,..,81.3962709176308,1.59160618079803,800,..,16.8,..,..,1.36492139898865,2365,5.54166666666667
2005,YR2005,Bahrain,BHR,0.512279281649416,..,14.0567332418424,..,23.9582405090332,96.2000732421875,..,..,26.7352737398905,46.2098450428364,..,..,3.32999992370605,76.931,33.6209198317869,46821.0246254023,22027.331306682,6.56659445840229,-1.33644959520269,108.742693829694,148.313525108923,2.58620689655173,53401,..,10.6,..,..,7.89520208580362,..,7.82185358255452
2005,YR2005,Bangladesh,BGD,0.11192305515553,2.58351275093366,5.18022516467283,0.147,6.44670009613037,46.9628295898438,4.25,9.27000045776367,25.8304355145863,21.0557137508456,..,..,..,67.299,58.0295100739083,2663.09625700318,758.890383408774,1.17120896046669,4.93096820478085,4.75154112600132,34.396934864465,7.04661816222037,-715970,..,64.6,33.2,..,1.51797511096499,422578,10.615
2005,YR2005,Barbados,BRB,0.346610362575487,10.4950781702374,16.6972116769211,..,..,108.539001464844,..,..,18.9187066369944,9.77222149496007,..,22.6382,5.66965007781982,74.89,30.6972444950064,16154.261200613,17382.7727977425,10.2123680027307,3.58049163318141,..,97.616180128289,6.08218729535043,-172,..,15.7,..,..,0.361350772944923,1348,9.16666666666667
2005,YR2005,Belarus,BLR,0.609038214490095,..,20.785312392899,..,67.5742111206055,..,1.5,..,28.4604661956657,27.2268166246844,27.35101,..,5.8710298538208,68.8512195121951,22.1208054330508,11940.1865961058,3880.01436974552,1.01497746172797,10.1497671724788,..,118.88435169233,10.3388794457932,-11902,..,8.7,27.6,..,-0.683005560010688,..,11.3583333333333
2005,YR2005,Belgium,BEL,0.318157124246558,..,22.093997631255,..,61.0854797363281,159.89013671875,8.4399995803833,21.4799995422363,23.6810632000764,27.7176703728838,33.67031,..,5.79585981369019,78.9804878048781,26.131122016947,46342.1866093314,38426.0519083731,8.72717720186463,1.76045559407572,74.7912935279234,144.529050669983,2.78143263670025,46280,..,4.9,29.3,4604513000,0.550055708089009,..,..
2005,YR2005,Belize,BLZ,0.17865217249953,28.5414273532583,14.6767020184742,..,16.0211696624756,76.4665832519531,10.9099998474121,..,17.8925761204242,25.8296270954499,..,20.50685,..,69.376,65.4193215719495,9631.59161051857,6301.91586494332,8.68343933780794,-0.807645036123702,..,93.8077317824153,-1.10431044411911,2397,..,20.9,..,..,2.98554490009989,1558,14.255
2005,YR2005,Benin,BEN,0.176918657954967,..,8.9910736442313,..,5.9141697883606,..,..,..,12.0860448919113,9.95739440709404,145.62578,..,2.6566801071167,57.125,84.7810574617461,2528.6764808549,924.269524085128,-0.133820378880501,-1.46781382104416,..,39.0959311879142,5.36452085832342,30492,..,121.5,..,..,3.177348170646,..,8.04416666666667
2005,YR2005,Bermuda,BMU,..,3.01841231512225,..,..,..,78.7026290893555,..,..,..,..,..,14.02632,1.98877000808716,78.6853658536586,24.9076225246156,91114.0769901835,119396.449407765,0.897674181658031,1.01807989701432,43.6466853021362,..,..,-80,..,..,..,..,0.647413398667903,682,..
